"","X","obs","point","species","distance","round","impound","area","region","lat","long","month","day","year","night","odate","time","flush_walk","treat"
"1",1,"A","AF408S3","sora",3,4,"n mallard","scnwr","nw",40.10415902,-95.277694,10,22,2013,4.2,295,NA,NA,NA
"2",2,"JF","JF023S0","sora",0,4,"n mallard","scnwr","nw",40.10151998,-95.2724,10,22,2013,4.2,295,NA,NA,NA
"3",3,"D","DD345S2","sora",2,3,"pool1","fgca","nc",39.7096439637,-93.3279459737,10,2,2013,4.2,275,NA,NA,NA
"4",4,"D","DD350S0","sora",0,3,"pool1","fgca","nc",39.709019009,-93.3272719849,10,2,2013,4.2,275,NA,NA,NA
"5",5,"D","DD344S4","sora",4,3,"pool1","fgca","nc",39.7088320088,-93.3277090173,10,2,2013,4.2,275,NA,NA,NA
"6",6,"D","DD346S0","sora",0,3,"pool1","fgca","nc",39.7087070346,-93.3280680142,10,2,2013,4.2,275,NA,NA,NA
"7",7,"D","DD349S0","sora",0,3,"pool1","fgca","nc",39.7087050229,-93.3280690201,10,2,2013,4.2,275,NA,NA,NA
"8",8,"D","DD347S0","sora",0,3,"pool1","fgca","nc",39.7085580043,-93.3282759693,10,2,2013,4.2,275,NA,NA,NA
"9",9,"D","DD333S2","sora",2,3,"pool1","fgca","nc",39.708529003,-93.3265499678,10,2,2013,4.2,275,NA,NA,NA
"10",10,"D","DD362S3","sora",3,3,"pool1","fgca","nc",39.7083440144,-93.3280140348,10,2,2013,4.2,275,NA,NA,NA
"11",11,"D","DD361S0","sora",0,3,"pool1","fgca","nc",39.7083420027,-93.3280260209,10,2,2013,4.2,275,NA,NA,NA
"12",12,"D","DD342S2","sora",2,3,"pool1","fgca","nc",39.7082489636,-93.3278540242,10,2,2013,4.2,275,NA,NA,NA
"13",13,"D","DD343S3","sora",3,3,"pool1","fgca","nc",39.7082460299,-93.327843966,10,2,2013,4.2,275,NA,NA,NA
"14",14,"D","DD360S3","sora",3,3,"pool1","fgca","nc",39.7078919783,-93.3282609656,10,2,2013,4.2,275,NA,NA,NA
"15",15,"D","DD341S2","sora",2,3,"pool1","fgca","nc",39.7078509908,-93.3279710356,10,2,2013,4.2,275,NA,NA,NA
"16",16,"D","DD334S3","sora",3,3,"pool1","fgca","nc",39.7073139623,-93.3273060154,10,2,2013,4.2,275,NA,NA,NA
"17",17,"D","DD363S6","sora",6,3,"pool1","fgca","nc",39.7070589848,-93.3264079783,10,2,2013,4.2,275,NA,NA,NA
"18",18,"D","DD335S5","sora",5,3,"pool1","fgca","nc",39.707000982,-93.3273829613,10,2,2013,4.2,275,NA,NA,NA
"19",19,"D","DD332S1","sora",1,3,"pool1","fgca","nc",39.7069729865,-93.3307249937,10,2,2013,4.2,275,NA,NA,NA
"20",20,"D","DD340S3","sora",3,3,"pool1","fgca","nc",39.7068940289,-93.3282020409,10,2,2013,4.2,275,NA,NA,NA
"21",21,"D","DD331S0","sora",0,3,"pool1","fgca","nc",39.7066699807,-93.3300639968,10,2,2013,4.2,275,NA,NA,NA
"22",22,"D","DD339S2","sora",2,3,"pool1","fgca","nc",39.7066640295,-93.3283300325,10,2,2013,4.2,275,NA,NA,NA
"23",23,"D","DD330S0","sora",0,3,"pool1","fgca","nc",39.7066450026,-93.3299120329,10,2,2013,4.2,275,NA,NA,NA
"24",24,"D","DD338S2","sora",2,3,"pool1","fgca","nc",39.7066429909,-93.3283229917,10,2,2013,4.2,275,NA,NA,NA
"25",25,"D","DD329S5","sora",5,3,"pool1","fgca","nc",39.7066399734,-93.3298909944,10,2,2013,4.2,275,NA,NA,NA
"26",26,"D","DD358S2","sora",2,3,"pool1","fgca","nc",39.7066399734,-93.3286919631,10,2,2013,4.2,275,NA,NA,NA
"27",27,"D","DD348S0","sora",0,3,"pool1","fgca","nc",39.7065709904,-93.3291340247,10,2,2013,4.2,275,NA,NA,NA
"28",28,"D","DD328S4","sora",4,3,"pool1","fgca","nc",39.7065190226,-93.3296979591,10,2,2013,4.2,275,NA,NA,NA
"29",29,"D","DD351S2","sora",2,3,"pool1","fgca","nc",39.706497984,-93.3291790355,10,2,2013,4.2,275,NA,NA,NA
"30",30,"D","DD356S2","sora",2,3,"pool1","fgca","nc",39.7064880095,-93.3287959825,10,2,2013,4.2,275,NA,NA,NA
"31",31,"D","DD357S4","sora",4,3,"pool1","fgca","nc",39.7064849921,-93.3287910372,10,2,2013,4.2,275,NA,NA,NA
"32",32,"D","DD355S4","sora",4,3,"pool1","fgca","nc",39.7063750215,-93.3288580086,10,2,2013,4.2,275,NA,NA,NA
"33",33,"D","DD352S5","sora",5,3,"pool1","fgca","nc",39.706327999,-93.3290640358,10,2,2013,4.2,275,NA,NA,NA
"34",34,"D","DD353S5","sora",5,3,"pool1","fgca","nc",39.7063209582,-93.3290699869,10,2,2013,4.2,275,NA,NA,NA
"35",35,"D","DD354S4","sora",4,3,"pool1","fgca","nc",39.7063190304,-93.3290699869,10,2,2013,4.2,275,NA,NA,NA
"36",36,"D","DD336S8","sora",8,3,"pool1","fgca","nc",39.706233032,-93.3277260326,10,2,2013,4.2,275,NA,NA,NA
"37",37,"D","DD337S1","sora",1,3,"pool1","fgca","nc",39.7061320301,-93.3284059726,10,2,2013,4.2,275,NA,NA,NA
"38",38,"D","DD324S1","sora",1,3,"pool1","fgca","nc",39.7058980074,-93.328038007,10,2,2013,4.2,275,NA,NA,NA
"39",39,"D","DD324S0","sora",0,3,"pool1","fgca","nc",39.7058639769,-93.3294249605,10,2,2013,4.2,275,NA,NA,NA
