"","X","round","region","area","fs","impound","impound2","treat","treat2","night","day","month","year","jdate","time","length","obs","sora","vira","yera","kira","rail"
"1",1,1,"nw","nvca","ca","ash","ash","C","E",1.1,12,8,2014,225,0.833333333,3.5398,"A",0,0,0,0,0
"2",2,1,"nw","nvca","ca","ash","ash","C","E",1.2,12,8,2014,225,0.833333333,3.5398,"N",0,0,0,0,0
"3",3,1,"nw","nvca","ca","ash","ash","C","E",3.2,14,8,2014,227,0.7,3.218,"A",1,0,0,0,1
"4",4,1,"nw","nvca","ca","ash","ash","C","E",3.1,14,8,2014,227,0.716666667,2.7353,"N",0,0,0,0,0
"5",5,2,"nw","nvca","ca","ash","ash","C","E",3.1,2,9,2014,245,0.75,2.7,"A",4,0,0,0,4
"6",6,2,"nw","nvca","ca","ash","ash","C","E",3.2,2,9,2014,245,0.5,1.5,"N",1,0,0,0,1
"7",7,3,"nw","nvca","ca","ash","ash","C","E",1.1,18,9,2014,262,0.5,1.7,"A",7,0,0,0,7
"8",8,3,"nw","nvca","ca","ash","ash","C","E",1.2,18,9,2014,262,0.5,1.7,"N",10,0,0,0,10
"9",9,3,"nw","nvca","ca","ash","ash","C","E",3.1,22,9,2014,266,0.5,1.6,"N",14,0,0,0,14
"10",10,3,"nw","nvca","ca","ash","ash","C","E",3.2,22,9,2014,266,0.5,2,"A",11,1,0,0,12
"11",11,4,"nw","nvca","ca","ash","ash","C","E",1.1,8,10,2014,282,0.5,1.1,"N",6,0,0,0,6
"12",12,4,"nw","nvca","ca","ash","ash","C","E",1.2,8,10,2014,282,0.3,1,"A",1,0,0,0,1
"13",13,1,"nw","nvca","ca","ash","ash",NA,NA,1,16,8,2012,229,2,3.8,"A",2,2,0,0,4
"14",14,1,"nw","nvca","ca","ash","ash",NA,NA,1,16,8,2012,229,2,3.8,"M",0,2,0,0,2
"15",15,2,"nw","nvca","ca","ash","ash",NA,NA,2,3,9,2012,247,2,3.8,"L",11,0,0,0,11
"16",16,3,"nw","nvca","ca","ash","ash",NA,NA,1,20,9,2012,264,2,3.8,"A",13,0,0,0,13
"17",17,3,"nw","nvca","ca","ash","ash",NA,NA,2,21,9,2012,265,2,3.8,"J",35,0,0,0,35
"18",18,1,"nw","nvca","ca","ash","ash",NA,NA,1.1,14,8,2013,227,3,6,"A",2,0,0,0,2
"19",19,1,"nw","nvca","ca","ash","ash",NA,NA,1.2,14,8,2013,227,3,6,"D",0,0,0,0,0
"20",20,2,"nw","nvca","ca","ash","ash",NA,NA,2.1,2,9,2013,246,2,5.2,"M",4,0,0,0,4
