Property,Year,Region,Wetland impoundments
Nodaway Valley CA,2012,northwest,"Sanctuary, Ash Grove"
,2013,,"Sanctuary, Ash Grove"
,2014 & 2015,,"Sanctuary, Ash Grove, Rail Marsh"
Squaw Creek NWR,2012,,"Snow Goose B, North Mallard, North Pintail"
,2013,,"Snow Goose B, C, D & E, North Mallard"
,2014 & 2015,,"Snow Goose B & D, MSU 2 and 3"
Fountain Grove CA,2012,north central,"pool 2, pool 3, boardwalk"
,2013,,"pool 1 & 2, pool 2 walk-in, pool 3 walk-in"
,2014 & 2015,,"pool 2, pool 2 walk-in, pool 3 walk-in"
Swan Lake NWR,2012,,"m4, m5, m10, m11"
,2013,,"m3, m4, m5, m10, m11, m14"
,2014 & 2015,,"m10, m11, m13"
Ted Shanks CA,2012,northeast,"4a, 11a, nose slough"
,2013,,nose slough
,2014 & 2015,,"2a, 4a, 6a, 8a"
B.K. Leach CA,2012,,"bittern basin 1, 2, & 3, kings tract 2 & 6"
,2013,,"bittern basin 1, 2, & 3, kings tract 2 & 6"
,2014 & 2015 ,,"kings tract 2, 5, 6, & 9"
Clarence Cannon NWR,2012,,"MSU 1, 2 & 7"
,2013,,MSU 7
,2014 & 2015,,"MSU 1, 2, & 12"
Duck Creek CA,2012,southeast,"Unit A  13, 14, 15, 18, 20, & 21, ditch"
,2013,,"Unit A 11, 13, 14, 15, 16, 18, 20, ditch"
,2014 & 2015,,"Unit A 14, 18, 20, 22"
Otter Slough CA,2012,,"21, 25, R3, R4/5, R7, R8, R9"
,2013,,"21, 25, R4/5, R7"
,2014 & 2015,,"21, 23"
Ten Mile Pond CA,2014 & 2015,,"Pool C, E and I"
Mingo NWR,2012,,"2w, 2 & 3"
,2013,,"2w, 2 & 3"
